hour,ambient_temp,battery_temp,soc,energy,efficiency
272,29.261088014031916,29.403698894172237,0.9,0.0,0.9286945599298404
273,30.53203098320492,30.68735129303697,0.9,0.0,0.9223398450839754
274,31.86300959310138,32.031639689032396,0.9,0.0,0.9156849520344931
275,32.510515005185795,32.68562015523765,0.9,0.0,0.9124474249740709
276,32.49614528906363,32.67110674195426,0.9,0.0,0.9125192735546819
277,34.16845325318137,34.360137785713185,0.9,0.0,0.9041577337340931
278,32.9938674276238,33.173806101900034,0.9,0.0,0.910030662861881
279,33.339143134526225,33.52253456587149,0.9,0.0,0.9083042843273689
280,32.31739749104396,32.4905714659544,0.9,0.0,0.9134130125447801
281,32.073610463621606,32.244346568257825,0.9,0.0,0.9146319476818919
282,30.037381437628163,30.187755252004443,0.9,0.0,0.9248130928118592
283,28.988833747263044,29.128722084735674,0.9,0.0,0.9300558312636847
284,28.14777188495596,28.27924960380552,0.9,0.0,0.9342611405752201
285,28.08591672762662,28.216775894902888,0.9,0.0,0.9345704163618669
286,27.662135019927824,27.788756370127103,0.9,0.0,0.9366893249003608
287,25.274231024413147,25.37697333465728,0.9,0.0,0.9486288448779342
288,26.18045544188057,26.29225999629938,0.9,0.0,0.9440977227905971
289,25.326693624243838,25.429960560486276,0.9,0.0,0.9483665318787807
290,26.962116480938807,27.081737645748195,0.9,0.0,0.9401894175953059
291,28.298886931417357,28.431875800731532,0.9,0.0,0.9335055653429132
292,26.87597018709124,26.994729888962155,0.9,0.0,0.9406201490645437
293,28.637078336257915,28.773449119620494,0.9,0.0,0.9318146083187104
294,27.510545485551148,27.63565094040666,0.9,0.0,0.9374472725722443
295,29.094149138331243,29.235090629714556,0.9,0.0,0.9295292543083438
296,30.32102865480149,30.474238941349505,0.9,0.0,0.9233948567259925
297,33.40513416674664,33.58918550841411,0.9,0.0,0.9079743291662667
298,31.76428094520708,31.931923754659152,0.9,0.0,0.9161785952739645
299,33.24425012457736,33.42669262582314,0.9,0.0,0.9087787493771131
300,33.181243768208915,33.363056205891006,0.9,0.0,0.9090937811589553
301,33.36437945597594,33.5480232505357,0.9,0.0,0.9081781027201202
302,33.62912606268287,33.8154173233097,0.9,0.0,0.9068543696865856
303,31.424943605095606,31.58919304114656,0.9,0.0,0.917875281974522
304,31.6253752246085,31.791628976854586,0.9,0.0,0.9168731238769574
305,31.41885212656856,31.583040647834245,0.9,0.0,0.9179057393671571
306,29.40074312583916,29.54475055709755,0.9,0.0,0.9279962843708042
307,28.74570141456916,28.883158428714854,0.9,0.0,0.9312714929271542
308,29.811655932486083,29.959772491810945,0.9,0.0,0.9259417203375695
309,28.978169480578757,29.117951175384544,0.9,0.0,0.9301091525971061
310,26.404520477352545,26.51856568212607,0.9,0.0,0.9429773976132372
311,24.03958474863757,24.13958474863757,0.9,0.0,0.95
312,24.540364074986996,24.640364074986998,0.9,0.0,0.95
313,26.283333382787717,26.396166716615593,0.9,0.0,0.9435833330860613
314,24.18821373752509,24.28821373752509,0.9,0.0,0.95
315,27.998262498784356,28.1282451237722,0.9,0.0,0.9350086875060781
316,28.121968159176507,28.253187840768273,0.9,0.0,0.9343901592041174
317,28.533782922009987,28.669120751230086,0.9,0.0,0.93233108538995
318,26.93587660486867,27.05523537091736,0.9,0.0,0.9403206169756566
319,28.744545512700384,28.881990967827388,0.9,0.0,0.931277272436498
320,29.513199486877483,29.658331481746256,0.9,0.0,0.9274340025656126
321,30.182981676736983,30.334811493504354,0.9,0.0,0.924085091616315
322,31.440667710849752,31.60507438795825,0.9,0.0,0.9177966614457512
323,33.26259061429752,33.445216520440496,0.9,0.0,0.9086870469285123
324,31.58792110445864,31.753800315503227,0.9,0.0,0.9170603944777067
325,33.15642814185577,33.33799242327433,0.9,0.0,0.9092178592907211
326,32.70136564891258,32.8783793054017,0.9,0.0,0.9114931717554371
327,32.20504301621086,32.37709344637297,0.9,0.0,0.9139747849189457
328,30.5112303136912,30.666342616828114,0.9,0.0,0.9224438484315439
329,31.55140699842745,31.716921068411725,0.9,0.0,0.9172429650078627
330,32.100683326751195,32.27169016001871,0.9,0.0,0.914496583366244
331,28.732279123419566,28.869601914653764,0.9,0.0,0.9313386043829022
332,29.800853951843266,29.948862491361698,0.9,0.0,0.9259957302407836
333,29.695974913659324,29.842934662795916,0.9,0.0,0.9265201254317034
334,26.108949799261826,26.220039297254445,0.9,0.0,0.9444552510036909
335,26.95930462806922,27.07889767434991,0.9,0.0,0.9402034768596539
336,26.041338198192182,26.151751580174103,0.9,0.0,0.944793309009039
337,26.030965382926222,26.141275036755484,0.9,0.0,0.9448451730853689
338,25.92205132633566,26.031271839599015,0.9,0.0,0.9453897433683217
339,26.061317736005936,26.171930913365994,0.9,0.0,0.9446934113199703
340,28.04485911749305,28.17530770866798,0.9,0.0,0.9347757044125347
341,28.10902322903654,28.240113461326906,0.9,0.0,0.9344548838548172
342,29.23403491539335,29.376375264547285,0.9,0.0,0.9288298254230332
343,26.47272275801593,26.587449985596088,0.9,0.0,0.9426363862099203
344,30.71490041686474,30.87204942103339,0.9,0.0,0.9214254979156763
345,29.97693651639545,30.126705881559406,0.9,0.0,0.9251153174180227
346,31.62910785243516,31.79539893095951,0.9,0.0,0.9168544607378242
347,33.71866200444074,33.905848624485145,0.9,0.0,0.9064066899777963
348,31.46141635444991,31.62603051799441,0.9,0.0,0.9176929182277505
349,31.2974418959017,31.460416314860716,0.9,0.0,0.9185127905204915
350,33.60343026604727,33.78946456870774,0.9,0.0,0.9069828486697636
351,31.822277189103534,31.99049996099457,0.9,0.0,0.9158886140544823
352,32.86197950385229,33.04059929889081,0.9,0.0,0.9106901024807386
353,32.02905642776511,32.19934699204276,0.9,0.0,0.9148547178611743
354,29.018325147019457,29.15850839848965,0.9,0.0,0.9299083742649027
355,30.780001387532728,30.937801401408056,0.9,0.0,0.9210999930623364
356,27.30790148925416,27.430980504146703,0.9,0.0,0.9384604925537292
357,28.610664756855623,28.74677140442418,0.9,0.0,0.9319466762157218
358,28.877258724819605,29.016031312067803,0.9,0.0,0.9306137063759019
359,26.949900493099022,27.069399498030013,0.9,0.0,0.9402504975345048
360,26.93062344214925,27.049929676570745,0.9,0.0,0.9403468827892537
361,27.655738562035797,27.782295947656156,0.9,0.0,0.9367213071898209
362,28.320918725858576,28.454127913117162,0.9,0.0,0.9333954063707071
363,25.50773543231332,25.612812786636454,0.9,0.0,0.9474613228384333
364,26.3284358463321,26.44172020479542,0.9,0.0,0.9433578207683395
365,26.91336448706549,27.032498131936144,0.9,0.0,0.9404331775646725
366,28.821128793581146,28.959340081516956,0.9,0.0,0.9308943560320943
367,30.003063285522483,30.153093918377706,0.9,0.0,0.9249846835723875
368,31.84092454728144,32.009333792754255,0.9,0.0,0.9157953772635927
369,30.151721916987512,30.303239136157387,0.9,0.0,0.9242413904150624
370,31.369086475960813,31.532777340720422,0.9,0.0,0.9181545676201959
371,32.616921200160256,32.79309041216186,0.9,0.0,0.9119153939991986
372,32.55366095334375,32.72919756287719,0.9,0.0,0.9122316952332812
373,31.525399542973155,31.690653538402888,0.9,0.0,0.9173730022851342
